AAPL,Apple to close all China mainland stores due to virus outbreak,Apple to shut down all official stores in Chinese mainland due to virus outbreak
AMZN,"Amazon holiday quarter delivers, threatens profit squeeze for UPS and FedEx"
CHK,Second person dies from blast at Chesapeake well site
DAL,Delta speeds up suspension of U.S.-China flights over coronavirus,UPDATE 1-Delta speeds up suspension of U.S.-China flights over coronavirus,Delta speeds up suspension of U.S.-China flights
FDX,"Amazon holiday quarter delivers, threatens profit squeeze for UPS and FedEx"
PCG,UPDATE 1-California's PG&E proposes board revamp in revised bankruptcy plan,PG&E proposes board revamp in revised bankruptcy plan
UAL,Delta speeds up suspension of U.S.-China flights over coronavirus,UPDATE 1-Delta speeds up suspension of U.S.-China flights over coronavirus
UPS,"Amazon holiday quarter delivers, threatens profit squeeze for UPS and FedEx"
WMT,Walmart temporarily limits 'non-business critical travel' to China
XOM,Oil majors request more Mozambique troops after Islamist attacks: sources,Papua New Guinea scraps talks with Exxon on P'nyang gas project
