AAPL,"Apple unveils new iPad, updates Mini ahead of video streaming launch",Apple launches iPad Air and Mini ahead of March 25 event
BA,Ethiopia and Indonesia crash parallels heap pressure on Boeing,Embraer CEO to step down ahead of deal with Boeing,Embraer's CEO to step down following shareholder approval of Boeing deal,What we know about Boeing 737 MAX crash and what comes next,WestJet suspends 2019 forecasts after Boeing groundings,WestJet suspends 2019 financial forecast after Boeing groundings,Boeing shares fall again after probe report into FAA approval of 737 MAX,"US STOCKS SNAPSHOT-S&P, Nasdaq open flat; Boeing drags on Dow",Ethiopia says crashed jet's black boxes show similarities to Lion Air disaster,US STOCKS-Futures tick higher after best week of the year; Boeing weighs on Dow,"Swiss Re says helped insure Boeing, Ethiopian Airlines","Swiss Re says helped insure Boeing, Ethiopian Airlines",Breakingviews - Airbus can only nibble at Boeing’s 737 lunch,Boeing shares fall again after probe report into FAA approval of 737 MAX,Factbox: What we know about Boeing 737 MAX crash and what comes next
CMCSA,"NBCUniversal, Sky team up to expand global advertising product"
CME,CME says euro trading has moved to Amsterdam ahead of Brexit,CME says euro trading has moved to Amsterdam ahead of Brexit
DAL,Alitalia future uncertain after easyJet exits rescue talks
FE,FirstEnergy subsidiaries say Ch. 11 disclosures address retiring power plants
FIS,U.S. firm FIS buys Worldpay for $35 billion in payments deal bonanza,Fidelity National to buy Worldpay for $34.83 bln
GM,Far-flung job offers pose tough choices for GM Ohio workers,Trump wants GM CEO 'to do something quickly' to reopen Ohio plant
GS,Goldman Sachs sets targets for Hispanic and black entry-level hires,REFILE-German lawmakers challenge deputy finance minister's Goldman link in bank merger
HOG,NY appeals court upholds $2 mln verdict against Harley-Davidson
INTC,"Project Aurora: U.S. government, Intel aim for nation's fastest computer"
MAR,"Marriott to open 1,700 hotels, return $11 billion to shareholders by 2021",Marriott forecasts full-year profit of $7.65-$8.50 per share by 2021
MMM,3M to restructure business into four units,3M to restructure to four business units from five
NWL,Newell Brands to sell Processing Solutions unit for about $500 million,Newell Brands to sell Processing Solutions unit for about $500 mln
WMT,Walmart Japan's new CEO: Seiyu 'absolutely' not for sale,New CEO of Walmart Japan and Seiyu says 'not here to sell a business'
XOM,Eco Atlantic upgrades oil and gas resources in Guyana field
XRX,Xerox says exploring potential deal for financing business,Xerox says exploring potential deal for financing business
