AAL,American won't resume Miami service until Tuesday at earliest,UPDATE 1-American won't resume Miami service until Tuesday at earliest
ABBV,AbbVie reports two patient deaths in rheumatoid arthritis study,BRIEF-AbbVie's upadacitinib meets all primary and ranked secondary endpoints
ADP,BRIEF-Pershing Square's Ackman owns 2 pct of ADP common shares - CNBC
AGN,BRIEF-Imprimis Pharmaceuticals ‍responded to Allergan Plc press release regarding lawsuit
AIZ,BRIEF-Assurant reports preliminary loss estimates for hurricanes Harvey and Irma
AJG,BRIEF-Arthur J. Gallagher & Co acquires Franklin-Case Agency LLC
ALK,BRIEF-‍Alaska Air Group says ‍Air Group's Aug load factor increased to 86.2 percent​
BEN,BRIEF-Franklin Resources announces month-end assets under management
BSX,BRIEF-Veniti Inc announces Boston Scientific distribution agreement for VICI VENOUS STENT
C,Citigroup sees third-quarter markets revenue down 15 percent vs year-earlier,Citigroup sees 3Q markets revenue down 15 pct vs year-earlier,CORRECTED-BRIEF-Citigroup announces about C$481.5 mln redemption of 4.650 pct fixed rate/floating rate subordinated notes (Sept. 8)
CAG,NLRB rejects general counsel's bid for default judgment against ConAgra
CB,Insurer stocks jump as Irma losses seen less severe than feared,UPDATE 1-Insurer stocks jump as Irma losses seen less severe than feared,U.S. insurer Chubb pans EU HQ in Paris after Brexit,"US STOCKS-Wall St enjoys relief rally as Irma, N.Korea fears ease",Insurer stocks jump as Irma impact seen less severe than feared,BRIEF-Chubb to establish EU headquarters in France if UK leaves EU,"US STOCKS-Tech, insurers lead Wall St rally as Irma, N.Korea fears ease","US STOCKS-Wall St set for relief rally as Irma, N.Korea fears ease"
CME,RPT-COLUMN-London Metal Exchange rolls back the years to move forwards: Andy Home
DAL,Delta to cancel about 800 flights due to Irma,Delta to cancel about 800 flights due to Irma
DE,BRIEF-Deere & Co says August retail sales in U.S. and Canada Ag less than industry
EFX,EXCLUSIVE-Key U.S. senators demand answers on Equifax hacking,Lawsuits against Equifax pile up
EQIX,BRIEF-Equinix to expand into Spain and Portugal through acquisition of Itconic
FB,Facebook fined 1.2 million euros by Spanish data watchdog,BRIEF-Oculus product lead Jon Thomason to head software engineering team at Uber's Advanced Technologies Group - Facebook post
GS,Goldman's HR chief Cooper to retire: memo,Hurricanes Irma and Harvey to hit oil demand: Goldman Sachs
HPE,BRIEF-Dropbox adds Hewlett Packard Enterprise's CEO Whitman to its board - blog,BRIEF-Hewlett Packard Enterprise Co announces offering of senior notes
HPQ,BRIEF-Pitney Bowes extends global alliance with HP
HST,BRIEF-Host Hotels & Resorts names ‍Michael Bluhm chief financial officer​
INTC,Google challenges record EU antitrust fine in court
JNJ,J&J unit ends hepatitis C drug development in crowded market
JPM,RPT-UPDATE 1-Germany's Merck hires JP Morgan to sell consumer health
LH,BRIEF-Luminex Corp - Labcorp agrees to extend commitment to Luminex Cystic Fibrosis
MDT,BRIEF-Medtronic announces voluntary recall of diabetes infusion sets,UPDATE 1-Medtronic to recall some diabetes infusion sets,Medtronic to recall diabetes infusion sets
MOS,"UPDATE 1-Hurricane Irma whips orange trees, shuts Tyson meat plants"
MRK,BRIEF-Merck announces findings from phase 3 study of KEYTRUDA
MU,BRIEF-Nanya Technology sells stake in Micron Technology for $43.0 mln
PBI,BRIEF-Pitney Bowes extends global alliance with HP
PFE,BRIEF-Pfizer says ‍results indicated a improvement in OS for patients
PG,"BRIEF-P&G - ‍ ""strongly"" recommends that shareholders vote to support P&G board by voting blue proxy card ""for"" all of P&G's directors​"
QCOM,BRIEF-Qualcomm and Nokia to collaborate on driving wide-scale mobile 5G NR deployments,BRIEF-Qualcomm announces 5G NR mmWave prototype to accelerate mobile deployments for smartphones
REGN,"Regeneron, Sanofi asthma drug data fails to excite investors","BRIEF-Regeneron, Sanofi announce positive Dupilumab topline results from phase 3 trial in uncontrolled persistent Asthma",Sanofi and Regeneron announce positive dupilumab topline results
SBUX,"BRIEF-Starbucks says including licensed stores, over 700 stores closed in Southeast U.S., Puerto Rico",BRIEF-Starbucks Corp says shuttered more than 500 stores preceding Hurricane Irma
SEE,BRIEF-Sealed Air to acquire Asian specialty foam business
SHW,BRIEF-Sherwin-Williams Co entered into credit agreement
SWN,BRIEF-Southwestern Energy prices offering of $1.15 bln senior notes,BRIEF-Southwestern Energy announces cash tender offers for senior notes,BRIEF-Southwestern Energy commences public offering of $1.15 bln of senior notes,"BRIEF-Southwestern Energy entered into amendment $1,191 mln secured term loan facility and $743 mln unsecured revolving facility"
TRV,BRIEF-Travelers estimates pre-tax loss in range of $375 mln - $750 mln related to Hurricane Harvey
TSN,Tyson Foods shuts meat plants due to Irma
TXT,BRIEF-Textron inc - files for potential notes offering due 2028 size not disclosed
V,BRIEF-Visa calls for redemption all of its 1.200 pct notes due 2017
WDC,Western Digital-led group wins bid for Toshiba chip unit - Nikkan Kogyo
WFC,MOVES-Wells Fargo names John Campbell as head of investor relations
XOM,ExxonMobil slashes LNG price to India in bad omen for producers,India Petronet set to buy extra 1 mln T Australian LNG from Exxon - sources,ExxonMobil slashes 20-year LNG price to India in bad omen for producers
ZBH,BRIEF-Zimmer Biomet ‍announces global launch of persona partial knee system​
