AAL,American Airlines confirms order for 50 Airbus A321XLR planes,"American Airlines to order 50 Airbus A321XLR, including 30 conversions - source",Mitsubishi signs MOU for 15 Spacejet planes,Mitsubishi signs MOU for 15 Spacejet planes
AAPL,Apple explores moving 15-30% of production capacity from China: Nikkei
BA,"Costs, delays mount for Boeing's NASA launch system, audit finds",Airbus grabs China Airlines narrow-body jet order,UPDATE 2-Airbus grabs China Airlines narrow-body jet order,"Southwest sees higher second-quarter unit revenues, and costs, due to 737 MAX groundings",Southwest pilots to seek Boeing compensation for subpoena expenses,Qatar Airways orders five Boeing 777F freighters,Qatar Airways orders five Boeing 777F freighters,Boeing signs $100 million in services deals at order-light air show,UPDATE 1-Boeing signs $100 mln in services deals at order-light air show,Boeing signs $100 mln in services deals at order-light air show,Taiwan's China Airlines plans to upgrade fleet with Boeing 777 freighters,Taiwan's China Airlines plans to upgrade fleet with Boeing 777 freighters,"After Boeing showstopper, Airbus seeks order bounce"
BBY,Apple says iPhones can now be fixed at all U.S. Best Buy stores
CB,"Lloyd's to meet with insurers AIG, Chubb to boost U.S. business: CEO"
DAL,"Delta Air facing technical issue with flight bookings, check-ins"
DVA,U.S. FTC approves UnitedHealth's proposed purchase of DaVita unit
FB,U.S. Senate panel to examine Facebook digital currency project,U.S. lawmaker calls for Facebook to pause cryptocurrency project,"Facebook's cryptocurrency ambitions face privacy concerns, political backlash"
FL,"Foot-dragging over ditching Libor could be punished, regulator says"
GOOG,Activists urge Google to break up before regulators force it to,Activists urge Google to break up before regulators force it to
GOOGL,Activists urge Google to break up before regulators force it to,Activists urge Google to break up before regulators force it to
HOG,Harley-Davidson strikes deal to build smaller bike in China,CORRECTED-UPDATE 1-Harley-Davidson strikes deal to make smaller bikes in China,Harley-Davidson reaches deal to make smaller bikes in China
IBM,IBM to win unconditional EU okay for $34 billion Red Hat deal: sources,"EU to clear without conditions $34 bln IBM, Red Hat deal - sources"
LUV,"Southwest sees higher second-quarter unit revenues, and costs, due to 737 MAX groundings",Southwest pilots to seek Boeing compensation for subpoena expenses,"Southwest trims Q2 fuel, capacity forecasts on 737 MAX groundings"
MPC,U.S. House Democrats ask Marathon Petroleum to detail White House talks on vehicle rules
MSFT,"Dell, HP, Microsoft, Intel oppose proposed tariffs on laptops, tablets"
ORCL,"Oracle rises on strong quarterly forecast driven by licenses, cloud services",Cloud growth helps Oracle's quarterly profit rise 14%
PCG,PG&E completes safety inspection of distribution infrastructure
PSX,U.S. refiner Phillips 66 enters offshore oil export race,"U.S. refiner Phillips 66 enters offshore oil export race -document, source"
RTN,Elbit eyes acquisition opportunities from Raytheon-UTC deal
UNH,U.S. FTC approves UnitedHealth's proposed purchase of DaVita unit
UNP,Union Pacific CEO signals caution on Trump's China tariff threat
UTX,Elbit eyes acquisition opportunities from Raytheon-UTC deal
V,Delivery startup Rappi partners with Visa to offer pre-paid cards in Brazil
