AMGN,Amgen to buy Celgene psoriasis drug Otezla for $13.4 billion,Amgen to buy Celgene's psoriasis drug Otezla for $13.4 bln in cash
BA,Spirit Airlines looking at A321neo and 'larger' Boeing plane for growth: CEO
BMY,Amgen to buy Celgene's psoriasis drug Otezla for $13.4 bln in cash
CVX,"BP, Chevron among approved bidders for Brazil October oil auction: ANP"
DG,"IN BRIEF: Dollar General, Dollar Tree settle N.Y. probe into expired products"
DLTR,"IN BRIEF: Dollar General, Dollar Tree settle N.Y. probe into expired products"
FB,German cartel office to take Facebook case to High Court,German cartel office to take Facebook case to High Court,German cartel office to take Facebook case to High Court
FTI,Oil services firm TechnipFMC to split into two publicly traded companies,Oil services firm TechnipFMC to split into two publicly traded companies
GPS,"From Ikea to Gap, firms aim to use scarce water more wisely"
KHC,Kraft Heinz brings back former CFO after accounting missteps,Kraft Heinz names new CFO as Knopf departs
NVDA,"Nvidia, VMware release cloud software to court business customers"
PBI,Deals of the day-Mergers and acquisitions,Pitney Bowes to sell software solutions unit for $700 million to cut debt,Pitney Bowes to sell software solutions unit to Syncsort for $700 mln
VRSK,Daily Mail owner to sell energy data unit to Verisk Analytics for $364 million,Daily Mail owner to sell Genscape unit to Verisk Analytics for $364 mln
YUM,"KFC partners with Beyond Meat to test plant-based nuggets, wings"
