AAPL,U.S. buyers favor iPhone 7 over 8: research,Huawei aims to challenge Apple and Samsung on technology as well as price
ADBE,Adobe warns that hackers are exploiting its Flash software,"BRIEF-The ‍Kaspersky Lab reports ""vulnerability"" to Adobe",Kaspersky finds bug in Adobe Flash,BRIEF-Adobe releases security update for Flash player to address vulnerability
ADS,BRIEF-Alliance data systems says its LoyaltyOne has signed a multi-year renewal agreement with Bank of Montreal​
AGN,U.S. judge in Texas invalidates Allergan patents on Restasis,BRIEF-U.S. Court issues adverse decision concerning Allergan's Restasis,U.S. judge in Texas invalidates Allergan patents on Restasis
AJG,BRIEF-Arthur J. Gallagher & Co. acquires Reynolds & Rodar Insurance Group
AMGN,BRIEF-Amgen and Boston Children's Hospital enter into neuroscience research collaboration
AMP,BRIEF-Ameriprise Financial says co entered a third amended and restated credit agreement​
AVGO,"BRIEF-Arris International, Broadcom and Brocade withdraw and re-file joint voluntary notice to CFIUS",BRIEF-‍Tessera Technologies issues statement in response to litigation filed by Taiwan Semiconductor Manufacturing Company
AWK,"BRIEF-American Water Works Co says unit, other parties to PaPUC proceeding enter into settlement agreement"
AXP,U.S. top court to review antitrust claims against American Express
BA,"Fake paperwork, poor parts challenge China's aerospace boom"
BAC,BRIEF-Bank of America says credit card delinquency rate ‍was 1.56 pct at September end
BMY,BRIEF-FDA accepts Bristol-Myers Squibb’s application for Opdivo,BRIEF-Bristol-Myers ‍announces data for Opdivo and Opdivo plus Yervoy in previously treated small cell lung cancer​
C,BRIEF-Citigroup credit card delinquency and charge-off rate for September,BRIEF-FIS and Citi Treasury collaborate to enable real-time payments and cash management for corporate treasury customers​
CME,Blockchain startup Digital Asset raises $40 million,Blockchain startup Digital Asset raises $40 million,Three biggest U.S. clearing houses pass liquidity stress tests: CFTC
CMI,BRIEF-Cummins buys battery pack developer Brammo Inc
D,BRIEF-Dominion Energy Virginia seeks solar and onshore wind generation proposals
DFS,BRIEF-Discover Financial Services credit card delinquency and charge-off rate for September
DVA,BRIEF-DaVita provides additional information regarding patients receiving charitable premium assistance
EMR,BRIEF-Emerson agrees to acquire Paradigm
ES,BRIEF-Hull Street Energy agrees to buy hydroelectric plants from Eversource
FB,BRIEF-Anonymous feedback app tbh says is joining Facebook,Facebook buys teen app tbh
FIS,BRIEF-FIS and Citi Treasury collaborate to enable real-time payments and cash management for corporate treasury customers​
GE,BRIEF-Rafael Santana named CEO of GE Transportation
GM,Striking Canadian autoworkers ratify GM deal,Striking Canadian union approves deal with GM
