ABT,Abbott to hike production of lower-cost glucose monitors as diabetes soars
AMZN,Amazon offers $10 to Prime Day shoppers who hand over their data,Breakingviews - Amazon’s data deal invites D.C. scrutiny,Amazon U.S. rivals get sales boost on Prime Day: Adobe,Amazon offers $10 to Prime Day shoppers who hand over their data,Amazon rivals ride on Prime Day marketing as protests unfold
BA,Factbox: Airlines count the cost of Boeing 737 MAX grounding,Ryanair halves 2020 growth plans on Boeing MAX delays,Ryanair CEO says confident in 'great' Boeing 737 MAX despite delays
C,Citi ramps up ASEAN banking team with 30 hires over past year
CSX,CSX profit falls on trade-related weakness
FB,U.S. SEC chief says he has not met with Facebook since Libra announcement,UPDATE 2-U.S. SEC chief says he has not met with Facebook since Libra announcement,U.S. SEC chief says he has not discussed Libra with Facebook,UPDATE 1-U.S. senators criticize FTC's reported Facebook settlement,Senators criticize FTC's reported Facebook settlement,Germany's Scholz sounds alarm on cryptocurrencies such as Facebook's Libra,Germany's Scholz sounds alarm on cryptocurrencies such as Facebook's Libra,U.S. Senate to grill Facebook over plans for Libra cryptocurrency,Facebook vows Libra currency will wait for approval as U.S. airs worries
GILD,GSK's two-drug HIV Dovato treatment meets main goal in study,CORRECTED-UPDATE 1-GSK's Dovato suppresses AIDS virus at same levels of 3-drug regimen (July 10)
GM,"UAW president to GM: We invested in you, now invest in us","UAW head to GM: we invested in you, now invest in us"
GS,"Goldman Sachs profit beats estimates, boosted by strong equities trading","Credit Suisse hires Goldman banker for Middle East, Turkey, Africa job","UPDATE 1-Goldman Sachs profit beats expectations on equity trading, lending",Savings platform Raisin taps Goldman for top-up investment,RPT-Goldman banker highlights Morgan Stanley's Hong Kong IPO woes
JNJ,"J&J warns of hit from generic drugs in third quarter, shares fall",Johnson & Johnson quarterly profit jumps 41.8%
JPM,JPMorgan beats profit estimates but shows signs of pressure,JPMorgan profit rises 16% on tax gain
MS,RPT-Goldman banker highlights Morgan Stanley's Hong Kong IPO woes
NFLX,"HBO sets Emmy nominations record, tops Netflix",Five things to look for in Netflix's second-quarter report
PLD,Prologis to buy IPT for about $4 billion,Prologis to buy IPT for $3.99 bln
UAL,United tops profit estimates as MAX woes prompt higher fares in robust travel market,"United Airlines quarterly profit beats on strong travel demand, higher fares"
VNO,U.S. property trust Vornado challenges Arcadia's restructuring plan,U.S. property trust Vornado challenges Arcadia's restructuring plan
WFC,Wells Fargo tempers cost-cutting outlook,Wells Fargo's quarterly profit rises 22%
