AAPL,Breakingviews - Apple TV could be pilot for more dramatic things,"Apple leans on devices business in global battle against Disney, Netflix",Factbox: Apple's streaming TV service to cost $4.99/month; unveils new iPhones,"UPDATE 2-Apple leans on devices business in global battle against Disney, Netflix","Apple leans on devices business in global battle against Disney, Netflix",Apple to reveal streaming service prices while iPhones on 'holding pattern' until 5G,"Apple, Foxconn say they overly relied on temporary workers in China"
AMZN,No phones please: Rihanna stages fashion show for exclusive Amazon release,Amazon.com brings Prime service to Brazil; local retail shares drop,Amazon launches Prime service in challenging Brazil market
BA,Boeing plane deliveries down 72% in August as MAX grounding weighs,Boeing says depressurization issue led to suspension of 777X load testing,Boeing plane deliveries down 72% in August,Boeing says depressurization issue led to suspension of 777X load testing
C,MOVES-Citigroup hires Goldman Sachs exec to run U.S. investment grade bonds business
COF,Capital One strikes out in antitrust case against Intellectual Ventures
DIS,"Apple leans on devices business in global battle against Disney, Netflix","UPDATE 2-Apple leans on devices business in global battle against Disney, Netflix","Apple leans on devices business in global battle against Disney, Netflix"
F,Ford makes big electric push in Europe with new launches,CORRECTED-UPDATE 2-Ford makes big electric push in Europe with new launches,Ford to launch eight electric vehicles in Europe this year
FB,"Global money-laundering watchdog closely monitoring Facebook's Libra, official says","Judge lets Facebook privacy class action proceed, calls company's views 'so wrong'"
GE,GE to lose majority control of Baker Hughes with up to $3 billion share sale,Prosecutor investigates General Electric's France chief
GS,MOVES-Citigroup hires Goldman Sachs exec to run U.S. investment grade bonds business,"Saudi Aramco picks banks including Goldman, JPMorgan for IPO roles: Bloomberg"
IBM,"IBM, Fraunhofer partner on German-backed quantum computing research push","CORRECTED-IBM, Fraunhofer partner on German-backed quantum computing research push"
JPM,JPMorgan Chase lowers 2019 outlook for net interest income to $57 billion
MNK,"Mallinckrodt sells unit for up to $250 million, sees path forward to settle opioid lawsuits",Mallinckrodt to sell unit BioVectra for up to $250 mln
MSFT,Microsoft's LinkedIn loses appeal over access to user profiles
NFLX,"Apple leans on devices business in global battle against Disney, Netflix"
PCG,"PG&E stock slides on plan to exit bankruptcy, pay wildfire claims",PG&E proposes reorganization plan with $17.9 billion for wildfire claims
TGT,"Target boosts temporary hiring to over 130,000 for holiday rush","Target plans to hire 130,000 employees for busy holiday shopping season"
XOM,"Brazil sells rights in minor oil areas to Exxon, Murphy, locals",Exclusive: Repsol in advanced talks to buy Exxon assets in Gulf of Mexico - sources
