AMZN,Amazon fined 4 mln euros in France over competition issues -report
BLK,MOVES-BlackRock Poaches AXA IM's Herzog as its French Operations Director
C,"ANZ, Citi, Deutsche cartel case inches ahead in Australia"
CXO,Concho Resources to sell strip of New Mexico assets for $925 million,Concho Resources to sell New Mexico assets for $925 mln
F,"Ford finds buyer for Brazil plant, but new owner could cut 1,300 jobs",Brazilian automaker CAOA signs preliminary agreement to buy Ford plant
FB,"Facebook brings face recognition to all users, discontinues 'Tag Suggestions'"
FDX,"FedEx says correctly handled Hong Kong package, disputing Xinhua report","UPDATE 2-FedEx says correctly handled Hong Kong package, disputing Xinhua report","Fedex suspected of illegally sending ""knife tools"" to Hong Kong-Xinhua"
GE,GE's Baker Hughes sees range-bound oil prices for foreseeable future
GM,"With contract expiration looming, UAW targets GM first for talks"
GOOG,Google target of new antitrust probe by state attorneys general - Washington Post
GOOGL,Google target of new antitrust probe by state attorneys general - Washington Post
GS,Goldman Sachs global co-head of securities division Marty Chavez to retire,Goldman Sachs raises 'no deal' Brexit chances as general election looms,Goldman Sachs raises 'no deal' Brexit chances as general election looms
JNJ,Bayer hires former J&J executive for more pharma deals
KR,Kroger asks customers to quit openly carrying guns in stores,Kroger asks customers to quit openly carrying guns in stores
NFLX,Netflix applies for license under new Turkish broadcasting rules,Netflix applies for Turkish online broadcasting licence -TV watchdog
RIG,BRIEF-Transocean Ltd Expects Q3 Results To Include Estimated Non-Cash Charge Of About $580 Million
T,AT&T names John Stankey as chief operating officer
TSN,"Tyson cuts profit forecast, says slaughterhouse fire among challenges",Tyson Foods cuts 2019 profit forecast on short-term challenges
VRTX,Vertex to buy cell therapy developer Semma for $950 million,Vertex to buy cell therapy developer Semma for $950 mln
WMT,Walmart to stop selling short-barrel rifle ammunition
